basin_ID,nse,alpha-nse,beta-nse,fhv,fms,flv,kge,beta-kge,peak-timing,peak-mape,pearson-r
01632900,2.2550e-01,6.8343e-01,1.0631e+00,-3.3701e+01,1.8550e+01,-3.1637e+01,4.1105e-01,1.0631e+00,1.4412e+00,7.7043e+01,5.0739e-01
01634500,3.3304e-01,7.1569e-01,6.4823e-01,-3.0921e+01,1.8049e+02,-4.0931e+02,4.0043e-01,6.4823e-01,1.4865e+00,8.0641e+01,6.0642e-01
01638480,3.1976e-01,6.7670e-01,7.9665e-01,-3.3648e+01,9.9037e+01,-7.7715e+01,4.3275e-01,7.9665e-01,1.3846e+00,7.7239e+01,5.8060e-01
01639500,2.7712e-01,7.1962e-01,7.6677e-01,-3.5287e+01,1.6226e+02,-2.1802e+02,4.3387e-01,7.6677e-01,1.3542e+00,8.1606e+01,5.6699e-01
01644000,4.4651e-01,8.6195e-01,7.3170e-01,-1.5964e+01,1.2705e+02,-7.3906e+01,5.7595e-01,7.3170e-01,1.3571e+00,7.1845e+01,7.0205e-01
01658500,6.9609e-02,5.6319e-01,5.3950e-01,-4.4737e+01,3.9758e+02,8.1421e+01,1.0399e-01,5.3950e-01,2.4366e+01,9.2540e+01,3.6757e-01
01664000,4.2199e-01,8.9401e-01,7.4365e-01,-1.5560e+01,1.7197e+02,-2.2655e+02,5.8757e-01,7.4365e-01,1.1190e+00,6.9403e+01,6.9480e-01
01666500,2.8364e-01,9.2352e-01,8.8016e-01,-8.4237e+00,1.1555e+02,-1.9051e+02,5.9164e-01,8.8016e-01,1.2051e+00,7.0776e+01,6.1719e-01
01667500,4.6563e-01,9.7002e-01,6.7704e-01,-7.3443e+00,1.8089e+02,-1.1869e+02,5.8367e-01,6.7704e-01,1.1463e+00,6.6374e+01,7.3899e-01
01669000,3.6425e-01,7.0686e-01,7.3501e-01,-3.5130e+01,5.0068e+01,8.1333e+01,4.7157e-01,7.3501e-01,1.4545e+00,8.0677e+01,6.4917e-01
02011400,3.3157e-01,9.6745e-01,1.2694e+00,-1.0048e+01,3.5479e+01,-5.7857e+02,5.7036e-01,1.2694e+00,1.4390e+00,6.4363e+01,6.6689e-01
02011460,4.4123e-01,1.0110e+00,9.1961e-01,4.6266e+00,1.1165e+02,-2.4635e+02,7.1275e-01,9.1961e-01,8.9130e-01,5.7233e+01,7.2444e-01
02013000,2.8397e-01,9.0117e-01,7.3093e-01,-1.2914e+01,3.1484e+02,-3.4923e+02,5.2127e-01,7.3093e-01,1.1429e+00,7.1116e+01,6.1658e-01
02014000,4.6571e-01,9.2878e-01,8.7274e-01,-1.1430e+01,1.1361e+02,-8.6583e+02,6.8235e-01,8.7274e-01,1.2703e+00,7.1181e+01,7.1780e-01
02015700,3.3236e-01,8.9049e-01,7.8106e-01,-1.7969e+01,1.8799e+02,-1.6533e+03,5.6438e-01,7.8106e-01,4.2889e+00,7.4632e+01,6.3968e-01
02016000,5.8508e-01,1.0175e+00,8.8643e-01,-5.4359e+00,1.5906e+02,-1.2535e+03,7.6753e-01,8.8643e-01,8.8636e-01,5.9229e+01,7.9792e-01
02017500,4.9875e-01,9.5312e-01,7.7834e-01,-6.3281e+00,1.0396e+02,-8.1247e+02,6.6064e-01,7.7834e-01,1.0769e+00,5.9512e+01,7.4734e-01
02018000,6.2688e-01,9.9720e-01,8.9607e-01,-2.6962e+00,9.2899e+01,-1.0784e+03,7.8723e-01,8.9607e-01,9.2308e-01,5.2012e+01,8.1436e-01
